CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,RFM_Score,RFM_Total
12583,3,27,14447.44,France,5,5,5,555,15
12584,4,9,2338.15,Italy,5,5,4,554,14
12585,234,2,2040.1,Germany,2,2,4,224,8
12586,17,4,2062.67,Italy,5,3,4,534,12
12587,8,1,144.0,Finland,5,1,1,511,7
12588,39,4,958.78,Finland,4,3,3,433,10
12589,29,8,4695.66,France,4,4,5,445,13
12590,211,2,9864.26,Germany,2,2,5,225,9
12591,317,3,1352.15,Italy,2,3,4,234,9
12592,92,5,2582.66,Germany,3,4,4,344,11
12593,109,3,418.09999999999997,France,3,3,2,332,8
12594,38,15,5090.110000000001,Italy,4,5,5,455,14
12595,505,1,299.02,Germany,1,1,2,112,4
12596,51,2,618.27,Spain,4,2,3,423,9
12597,19,4,3811.22,Spain,5,3,5,535,13
12598,10,11,4534.09,France,5,5,5,555,15
12599,29,13,2296.72,France,4,5,4,454,13
12600,29,21,5043.92,Germany,4,5,5,455,14
12601,190,6,681.26,Germany,2,4,3,243,9
12602,59,1,153.12,France,4,1,1,411,6
12603,22,1,739.1999999999999,Germany,4,1,3,413,8
12604,79,2,254.18,France,3,2,1,321,6
12605,376,4,1232.95,Germany,2,3,3,233,8
12606,682,1,21.0,Spain,1,1,1,111,3
12607,60,1,1579.51,USA,3,1,4,314,8
12608,405,1,415.79,United Kingdom,2,1,2,212,5
12609,78,9,3435.86,Germany,3,5,5,355,13
12610,23,5,2099.54,Italy,4,4,4,444,12
12611,52,1,1193.32,Italy,4,1,3,413,8
12612,74,1,704.0400000000001,Germany,3,1,3,313,7
12613,57,10,6835.07,Germany,4,5,5,455,14
12614,278,1,315.6,Germany,2,1,2,212,5
12615,2,8,5740.98,France,5,4,5,545,14
12616,95,3,1131.1,France,3,3,3,333,9
12617,29,1,355.53,France,4,1,2,412,7
12618,22,1,177.31,Italy,4,1,1,411,6
12619,16,10,3781.38,Germany,5,5,5,555,15
12620,15,3,1339.41,France,5,3,4,534,12
12621,2,35,24775.81,Germany,5,5,5,555,15
12622,232,1,180.1,Germany,2,1,1,211,4
12623,276,7,3747.84,Germany,2,4,5,245,11
12624,106,2,641.13,France,3,2,3,323,8
12625,212,4,5164.88,Germany,2,3,5,235,10
12626,23,9,6620.48,Germany,4,5,5,455,14
12627,11,7,4478.53,Germany,5,4,5,545,14
12628,4,3,786.46,Germany,5,3,3,533,11
12629,386,2,1558.22,Sweden,2,2,4,224,8
12630,10,2,1270.88,Finland,5,2,4,524,11
12631,57,6,3481.57,Finland,4,4,5,445,13
12632,521,2,804.88,Germany,1,2,3,123,6
12633,59,7,5678.16,Germany,4,4,5,445,13
12634,536,2,490.0,USA,1,2,2,122,5
12635,90,4,2930.41,Germany,3,3,4,334,10
12636,739,1,141.0,USA,1,1,1,111,3
12637,67,12,8340.31,France,3,5,5,355,13
12638,33,2,921.49,Sweden,4,2,3,423,9
12639,239,3,1312.37,Sweden,2,3,4,234,9
12640,24,3,1174.58,France,4,3,3,433,10
12641,115,1,185.9,Sweden,3,1,1,311,5
12642,25,3,1013.26,Germany,4,3,3,433,10
12643,128,12,8350.42,France,3,5,5,355,13
12644,130,4,1918.49,Germany,3,3,4,334,10
12645,34,8,3539.3,Germany,4,4,5,445,13
12646,5,2,1346.97,USA,5,2,4,524,11
12647,22,36,17924.35,Germany,4,5,5,455,14
12648,155,4,1112.0,Germany,3,3,3,333,9
12649,107,8,2294.65,Germany,3,4,4,344,11
12650,3,1,314.44,France,5,1,2,512,8
12651,335,4,377.75,France,2,3,2,232,7
12652,331,2,1017.03,France,2,2,3,223,7
12653,149,3,4160.83,Israel,3,3,5,335,11
12654,11,5,601.98,Germany,5,4,2,542,11
12655,424,1,261.35,France,1,1,1,111,3
12656,17,8,6407.83,France,5,4,5,545,14
12657,11,4,1643.18,France,5,3,4,534,12
12658,19,1,686.05,Germany,5,1,3,513,9
12659,30,1,91.68,France,4,1,1,411,6
12660,11,1,245.1,France,5,1,1,511,7
12661,436,1,162.0,Sweden,1,1,1,111,3
12662,1,20,6988.02,Germany,5,5,5,555,15
12663,625,2,239.4,Germany,1,2,1,121,4
12664,8,11,6070.04,Finland,5,5,5,555,15
12665,325,3,313.6,Germany,2,3,2,232,7
12666,394,1,1248.42,Israel,2,1,3,213,6
12667,58,1,620.13,Finland,4,1,3,413,8
12668,12,10,11444.68,Germany,5,5,5,555,15
12669,151,3,2744.0299999999997,France,3,3,4,334,10
12670,10,7,3760.29,France,5,4,5,545,14
12671,606,1,2622.481,Germany,1,1,4,114,6
12672,330,2,437.05,France,2,2,2,222,6
12673,5,3,1230.02,Germany,5,3,3,533,11
12674,39,4,1970.6,France,4,3,4,434,11
12675,554,2,958.5,Italy,1,2,3,123,6
12676,25,11,2843.09,Sweden,4,5,4,454,13
12677,555,2,395.1,France,1,2,2,122,5
12678,42,21,34281.18,France,4,5,5,455,14
12679,59,4,1113.02,France,4,3,3,433,10
12680,1,4,880.81,France,5,3,3,533,11
12681,15,45,30868.28,France,5,5,5,555,15
12682,4,52,24033.91,France,5,5,5,555,15
12683,4,21,12696.78,France,5,5,5,555,15
12684,8,7,2283.63,France,5,4,4,544,13
12685,28,6,2863.08,France,4,4,4,444,12
12686,372,1,178.28,France,2,1,1,211,4
12687,481,2,2138.91,Sweden,1,2,4,124,7
12688,114,1,4873.8099999999995,Israel,3,1,5,315,9
12689,26,2,1247.61,France,4,2,3,423,9
12690,206,1,389.01,France,2,1,2,212,5
12691,28,7,1170.4,France,4,4,3,443,11
12692,637,1,110.95,France,1,1,1,111,3
12693,127,7,1703.02,Germany,3,4,4,344,11
12694,70,3,1843.35,France,3,3,4,334,10
12695,7,7,1407.1200000000001,France,5,4,4,544,13
12696,435,2,851.91,Finland,1,2,3,123,6
12697,29,3,957.59,Sweden,4,3,3,433,10
12698,590,1,339.75,Germany,1,1,2,112,4
12699,418,1,638.11,Germany,1,1,3,113,5
12700,8,4,4939.99,France,5,3,5,535,13
12701,80,6,2446.41,Germany,3,4,4,344,11
12702,20,1,219.0,Germany,4,1,1,411,6
12703,71,4,1006.53,Germany,3,3,3,333,9
12704,7,8,2340.84,Finland,5,4,4,544,13
12705,15,14,11762.1,Germany,5,5,5,555,15
12707,292,1,603.42,France,2,1,2,212,5
12708,30,18,5314.1,Germany,4,5,5,455,14
12709,15,34,31093.34,Germany,5,5,5,555,15
12710,97,3,1149.02,Germany,3,3,3,333,9
12711,612,2,1339.05,Germany,1,2,4,124,7
12712,29,21,7193.66,Germany,4,5,5,455,14
12713,1,1,848.55,Germany,5,1,3,513,9
12714,9,12,14093.71,France,5,5,5,555,15
12715,106,1,353.86,Sweden,3,1,2,312,6
12716,4,2,1053.49,France,5,2,3,523,10
12717,151,3,1308.91,Greece,3,3,4,334,10
12718,71,1,238.25,France,3,1,1,311,5
12719,5,2,644.95,France,5,2,3,523,10
12720,3,30,8260.67,Germany,5,5,5,555,15
12721,32,8,4013.08,France,4,4,5,445,13
12722,85,4,997.63,France,3,3,3,333,9
12723,4,5,725.07,France,5,4,3,543,12
12724,5,7,2317.52,France,5,4,4,544,13
12725,371,4,2694.56,Italy,2,3,4,234,9
12726,28,11,4014.6,France,4,5,5,455,14
12727,11,10,5679.53,France,5,5,5,555,15
12728,71,5,1070.17,France,3,4,3,343,10
12729,114,1,453.01,France,3,1,2,312,6
12730,522,1,829.25,Germany,1,1,3,113,5
12731,24,17,25775.71,France,4,5,5,455,14
12732,180,1,236.26000000000002,France,3,1,1,311,5
12733,234,4,2424.87,USA,2,3,4,234,9
12734,353,3,639.65,France,2,3,3,233,8
12735,315,2,779.5699999999999,France,2,2,3,223,7
12736,333,1,234.0,France,2,1,1,211,4
12737,499,2,3710.5,France,1,2,5,125,8
12738,372,1,310.7,Germany,2,1,2,212,5
12739,78,4,2726.73,United Arab Emirates,3,3,4,334,10
12740,64,1,427.6,France,3,1,2,312,6
12741,529,2,406.07,USA,1,2,2,122,5
12742,626,1,1201.52,United Arab Emirates,1,1,3,113,5
12743,134,2,546.43,Unspecified,3,2,2,322,7
12744,52,11,25317.06,Singapore,4,5,5,455,14
12745,487,3,925.41,United Kingdom,1,3,3,133,7
12746,541,1,254.55,United Kingdom,1,1,1,111,3
12747,2,26,9276.539999999999,United Kingdom,5,5,5,555,15
12748,1,336,56599.39,United Kingdom,5,5,5,555,15
12749,4,9,6897.36,United Kingdom,5,5,5,555,15
12750,129,1,275.88,Poland,3,1,1,311,5
12751,445,1,268.27,Brazil,1,1,1,111,3
12752,81,1,4366.78,Norway,3,1,5,315,9
12753,23,6,21429.39,Japan,4,4,5,445,13
12754,236,3,3010.74,Japan,2,3,5,235,10
12755,281,11,9030.66,Japan,2,5,5,255,12
12756,87,1,112.07999999999998,Japan,3,1,1,311,5
12757,16,13,7857.1,Portugal,5,5,5,555,15
12758,117,7,9903.24,Portugal,3,4,5,345,12
12759,52,8,5020.74,Netherlands,4,4,5,445,13
12760,456,1,347.8,Netherlands,1,1,2,112,4
12761,458,2,782.95,Netherlands,1,2,3,123,6
12762,8,2,1898.52,Portugal,5,2,4,524,11
12763,138,2,814.16,Japan,3,2,3,323,8
12764,317,1,1693.88,Lebanon,2,1,4,214,7
12765,472,6,1404.58,Netherlands,1,4,4,144,9
12766,4,9,10068.28,Portugal,5,5,5,555,15
12767,376,1,949.82,Korea,2,1,3,213,6
12768,451,1,168.69000000000003,Korea,1,1,1,111,3
12769,239,1,1143.6,Brazil,2,1,3,213,6
12770,211,2,3246.45,Japan,2,2,5,225,9
12771,486,1,282.3,Portugal,1,1,1,111,3
12772,60,1,892.47,Portugal,3,1,3,313,7
12773,564,1,124.25,Portugal,1,1,1,111,3
12774,536,1,98.7,Netherlands,1,1,1,111,3
12775,17,7,1686.12,Netherlands,5,4,4,544,13
12776,668,1,55.5,Portugal,1,1,1,111,3
12777,458,1,519.45,United Kingdom,1,1,2,112,4
12778,20,9,1775.68,Netherlands,4,5,4,454,13
12779,38,14,6722.2699999999995,Poland,4,5,5,455,14
12780,599,1,337.4,Netherlands,1,1,2,112,4
12781,64,2,826.74,Czech Republic,3,2,3,323,8
12782,5,11,4618.24,Portugal,5,5,5,555,15
12783,2,6,2225.91,Portugal,5,4,4,544,13
12784,9,3,1804.75,Portugal,5,3,4,534,12
12785,364,3,1100.4,Portugal,2,3,3,233,8
12786,610,1,728.5,Netherlands,1,1,3,113,5
12787,10,4,862.18,Netherlands,5,3,3,533,11
12788,463,4,444.9,Netherlands,1,3,2,132,6
12789,65,3,273.35,Netherlands,3,3,1,331,7
12790,192,2,591.85,Netherlands,2,2,2,222,6
12791,374,6,1056.1100000000001,Netherlands,2,4,3,243,9
12792,257,2,827.01,Portugal,2,2,3,223,7
12793,335,3,1017.33,Portugal,2,3,3,233,8
12794,53,2,860.41,Portugal,4,2,3,423,9
12795,19,1,430.48,Portugal,5,1,2,512,8
12796,628,1,381.0,Netherlands,1,1,2,112,4
12797,366,2,806.11,Portugal,2,2,3,223,7
12798,10,4,8510.93,Japan,5,3,5,535,13
12799,529,1,219.35,Japan,1,1,1,111,3
12800,470,3,584.25,Portugal,1,3,2,132,6
12801,501,1,1071.82,Sweden,1,1,3,113,5
12802,187,7,2416.42,Netherlands,3,4,4,344,11
12803,393,1,1092.81,Netherlands,2,1,3,213,6
12804,466,2,327.02,Netherlands,1,2,2,122,5
12805,382,4,1434.95,Netherlands,2,3,4,234,9
12806,435,4,2878.96,Netherlands,1,3,4,134,8
12807,383,1,330.35,Sweden,2,1,2,212,5
12808,37,5,906.1,Portugal,4,4,3,443,11
12809,178,3,1755.94,Portugal,3,3,4,334,10
12810,535,2,534.99,Japan,1,2,2,122,5
12811,261,5,1033.9,Portugal,2,4,3,243,9
12812,45,1,229.64000000000001,Japan,4,1,1,411,6
12813,502,3,1687.8,Netherlands,1,3,4,134,8
12814,102,1,125.92,Poland,3,1,1,311,5
12815,148,2,1063.46,Poland,3,2,3,323,8
12816,96,2,572.2,Poland,3,2,2,322,7
12817,281,3,690.98,Austria,2,3,3,233,8
12818,262,1,1542.08,Austria,2,1,4,214,7
12819,458,1,540.52,United Kingdom,1,1,2,112,4
12820,3,11,2689.52,United Kingdom,5,5,4,554,14
12821,214,2,220.8,United Kingdom,2,2,1,221,5
12822,71,2,948.88,United Kingdom,3,2,3,323,8
12823,75,18,6501.5,United Kingdom,3,5,5,355,13
12824,60,1,397.12,United Kingdom,3,1,2,312,6
12825,521,2,518.63,United Kingdom,1,2,2,122,5
12826,3,12,2955.75,United Kingdom,5,5,4,554,14
12827,6,3,430.15000000000003,United Kingdom,5,3,2,532,10
12828,3,6,1018.71,United Kingdom,5,4,3,543,12
12829,337,3,385.3,United Kingdom,2,3,2,232,7
12830,38,6,6814.64,United Kingdom,4,4,5,445,13
12831,262,3,451.11,United Kingdom,2,3,2,232,7
12832,32,2,383.03,United Kingdom,4,2,2,422,8
12833,145,1,417.38,United Kingdom,3,1,2,312,6
12834,283,1,312.38,United Kingdom,2,1,2,212,5
12835,428,41,6043.31,United Kingdom,1,5,5,155,11
12836,59,15,6585.62,United Kingdom,4,5,5,455,14
12837,173,2,688.41,United Kingdom,3,2,3,323,8
12838,34,10,3398.48,United Kingdom,4,5,5,455,14
12839,3,26,10071.73,United Kingdom,5,5,5,555,15
12840,144,7,4041.97,United Kingdom,3,4,5,345,12
12841,5,40,7540.68,United Kingdom,5,5,5,555,15
12842,70,4,1917.99,United Kingdom,3,3,4,334,10
12843,66,30,6588.41,United Kingdom,3,5,5,355,13
12844,29,4,648.6,United Kingdom,4,3,3,433,10
12845,267,4,354.09,United Kingdom,2,3,2,232,7
12846,682,1,15.58,United Kingdom,1,1,1,111,3
12847,22,2,1636.8999999999999,United Kingdom,4,2,4,424,10
12848,676,1,208.0,United Kingdom,1,1,1,111,3
12849,31,6,3090.56,United Kingdom,4,4,5,445,13
12850,446,1,330.0,United Kingdom,1,1,2,112,4
12851,97,2,284.13,United Kingdom,3,2,1,321,6
12852,295,1,311.55,United Kingdom,2,1,2,212,5
12853,135,11,3907.5,United Kingdom,3,5,5,355,13
12854,79,7,2994.02,United Kingdom,3,4,5,345,12
12855,373,4,650.9399999999999,United Kingdom,2,3,3,233,8
12856,8,6,2179.93,United Kingdom,5,4,4,544,13
12857,211,6,3688.0,United Kingdom,2,4,5,245,11
12858,383,1,177.92,United Kingdom,2,1,1,211,4
12859,459,1,575.1,United Kingdom,1,1,2,112,4
12860,693,1,55.47,United Kingdom,1,1,1,111,3
12861,620,1,68.25,United Kingdom,1,1,1,111,3
12862,426,2,1008.3199999999999,United Kingdom,1,2,3,123,6
12863,52,6,2792.5499999999997,United Kingdom,4,4,4,444,12
12864,138,2,299.57,United Kingdom,3,2,2,322,7
12865,26,4,3323.47,Austria,4,3,5,435,12
12866,283,3,1227.35,Belgium,2,3,3,233,8
12867,26,13,7913.29,United Kingdom,4,5,5,455,14
12868,186,8,2247.06,United Kingdom,3,4,4,344,11
12869,682,1,337.66999999999996,United Kingdom,1,1,2,112,4
12870,375,3,1676.95,United Kingdom,2,3,4,234,9
12871,84,3,744.02,United Kingdom,3,3,3,333,9
12872,327,12,3685.4900000000002,United Kingdom,2,5,5,255,12
12873,282,3,2027.3,United Kingdom,2,3,4,234,9
12874,385,2,948.42,Belgium,2,2,3,223,7
12875,143,5,1356.99,United Kingdom,3,4,4,344,11
12876,58,4,4081.79,Belgium,4,3,5,435,12
