date,total_price,quantity,invoice_count,customer_count,day_of_week,is_weekend,month,year,week,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2009-12-22,28023.43,14481,45,16,1,0,12,2009,52,16367.84,50340.24,49517.23,,29254.081428571426,20490.7565183698,37466.24904761904,21698.653834662855
2009-12-23,10871.1,4591,22,12,2,0,12,2009,52,28023.43,52792.25,40616.090000000004,,26065.96571428571,18280.073227224646,37037.03,21271.202709071025
2009-12-24,0.0,0,0,0,3,0,12,2009,52,10871.1,31239.47,44442.11,,20077.23,14551.640499279345,35899.38086956522,21486.39485364844
2009-12-25,0.0,0,0,0,4,0,12,2009,52,0.0,42588.09,39659.6,,15614.44857142857,15327.459473237821,34403.573333333334,22255.141649319106
2009-12-26,0.0,0,0,0,5,1,12,2009,52,0.0,0.0,0.0,,9530.435714285713,10541.293947882403,33027.4304,22847.2848586516
2009-12-27,0.0,0,0,0,6,1,12,2009,52,0.0,11450.68,22313.09,,9530.435714285713,10541.293947882403,31757.144615384615,23303.921638543372
2009-12-28,0.0,0,0,0,0,0,12,2009,53,0.0,16367.84,73327.66,,7894.624285714286,11068.905261680677,30580.954074074074,23654.551419572395
2009-12-29,0.0,0,0,0,1,0,12,2009,53,0.0,28023.43,50340.24,54513.5,5556.361428571428,10703.436970591016,29488.777142857143,23920.99481851267
2009-12-30,0.0,0,0,0,2,0,12,2009,53,0.0,10871.1,52792.25,63352.51,1553.0142857142857,4108.889582530651,28471.92275862069,24119.77552530805
2009-12-31,0.0,0,0,0,3,0,12,2009,53,0.0,0.0,31239.47,74037.91,0.0,0.0,27522.858666666667,24263.644369792222
2010-01-01,0.0,0,0,0,4,0,1,2010,53,0.0,0.0,42588.09,40732.92,0.0,0.0,25705.742000000002,24213.820750797702
2010-01-02,0.0,0,0,0,5,1,1,2010,53,0.0,0.0,0.0,9803.05,0.0,0.0,23593.991666666665,23571.377801240666
2010-01-03,0.0,0,0,0,6,1,1,2010,53,0.0,0.0,11450.68,24613.64,0.0,0.0,21126.06133333333,21926.250079612055
2010-01-04,13481.25,10654,29,22,0,0,1,2010,1,0.0,0.0,16367.84,45083.35,0.0,0.0,19768.297333333336,21931.42030587165
2010-01-05,19199.29,11321,36,31,1,0,1,2010,1,13481.25,0.0,28023.43,49517.23,1925.892857142857,5095.433551755645,19890.904,21884.019157640185
2010-01-06,8746.18,7472,14,13,2,0,1,2010,1,19199.29,0.0,10871.1,40616.090000000004,4668.648571428572,8142.3059968914395,19710.425666666666,21866.046314968542
2010-01-07,73085.74,40633,47,41,3,0,1,2010,1,8746.18,0.0,0.0,44442.11,5918.102857142857,7975.848049632328,18499.186666666665,21413.830415107463
2010-01-08,30319.05,12703,45,42,4,0,1,2010,1,73085.74,0.0,0.0,39659.6,16358.922857142858,26124.94782988393,19284.80366666667,22967.04447743518
2010-01-09,0.0,0,0,0,5,1,1,2010,1,30319.05,0.0,0.0,0.0,20690.215714285714,25465.753155899958,18941.569,22712.79856672343
2010-01-10,23688.600000000002,13429,34,29,6,1,1,2010,1,0.0,0.0,0.0,22313.09,20690.215714285714,25465.753155899958,17460.165333333334,22439.907556685193
2010-01-11,37887.26,13981,56,37,0,0,1,2010,2,23688.600000000002,13481.25,0.0,73327.66,24074.30142857143,23775.928064441865,16927.798666666666,22081.674532226894
2010-01-12,40856.53,21305,39,32,1,0,1,2010,2,37887.26,19199.29,0.0,50340.24,27560.874285714286,23753.106063080017,18190.707333333332,22163.429537418073
2010-01-13,22489.07,8852,30,25,2,0,1,2010,2,40856.53,8746.18,0.0,52792.25,30654.765714285713,23892.514538263415,18808.822,22537.7799009258
2010-01-14,31672.73,13895,58,47,3,0,1,2010,2,22489.07,73085.74,0.0,31239.47,32618.035714285714,22304.05404335937,17114.202333333335,20073.72842801251
2010-01-15,13515.89,8434,46,37,4,0,1,2010,2,31672.73,30319.05,0.0,42588.09,26701.89142857143,13558.995359085948,16491.952,19281.98006494278
2010-01-16,0.0,0,0,0,5,1,1,2010,2,13515.89,0.0,0.0,0.0,24301.44,14280.112972260875,15182.74,18024.66904362233
2010-01-17,17578.24,10041,40,35,6,1,1,2010,2,0.0,23688.600000000002,0.0,11450.68,24301.44,14280.112972260875,14141.424333333334,17967.344896167
2010-01-18,21451.56,10375,40,32,0,0,1,2010,3,17578.24,37887.26,13481.25,16367.84,23428.53142857143,14508.743448688021,13307.762666666667,17164.20509229257
2010-01-19,33352.561,15334,47,41,1,0,1,2010,3,21451.56,40856.53,19199.29,28023.43,21080.574285714283,13033.834711200505,14022.814666666667,17037.0529910658
2010-01-20,19140.16,9567,37,31,2,0,1,2010,3,33352.561,22489.07,8746.18,10871.1,20008.578714285715,11333.976175195894,14752.877366666666,17388.668064021334
2010-01-21,27391.96,72914,48,47,3,0,1,2010,3,19140.16,31672.73,73085.74,0.0,19530.163,11282.384784215152,14845.288033333334,17404.90565689695
2010-01-22,36814.82,18590,45,39,4,0,1,2010,3,27391.96,13515.89,30319.05,0.0,18918.62442857143,10610.539581502937,14824.239033333335,17388.79320709324
2010-01-23,0.0,0,0,0,5,1,1,2010,3,36814.82,0.0,0.0,0.0,22247.043,12172.626302367797,15689.029700000003,17825.06584878542
2010-01-24,16070.24,8903,50,48,6,1,1,2010,3,0.0,17578.24,23688.600000000002,0.0,22247.043,12172.626302367797,15689.029700000003,17825.06584878542
2010-01-25,23045.6,10059,57,44,0,0,1,2010,4,16070.24,21451.56,37887.26,0.0,22031.61442857143,12281.87888818905,16224.704366666669,17577.06916333053
2010-01-26,47243.840000000004,22994,93,68,1,0,1,2010,4,23045.6,33352.561,40856.53,0.0,22259.33442857143,12284.108996009327,16992.891033333333,17345.602357919095
2010-01-27,28703.6,17859,56,47,2,0,1,2010,4,47243.840000000004,19140.16,22489.07,0.0,24243.802857142855,15160.227797490066,18567.685699999998,17885.835210425772
2010-01-28,19865.670000000002,11253,56,48,3,0,1,2010,4,28703.6,27391.96,31672.73,0.0,25610.00857142857,15054.191193798744,19524.47236666667,17624.145387681885
2010-01-29,28403.981,10178,49,37,4,0,1,2010,4,19865.670000000002,36814.82,13515.89,0.0,24534.824285714287,15174.001674950325,20186.661366666667,17234.14922443723
2010-01-30,0.0,0,0,0,5,1,1,2010,4,28403.981,0.0,0.0,0.0,23333.27585714286,14350.19169176136,21133.460733333333,16863.131850913207
2010-01-31,18704.68,10779,53,47,6,1,1,2010,4,0.0,16070.24,17578.24,0.0,23333.27585714286,14350.19169176136,21133.460733333333,16863.131850913207
2010-02-01,19831.431,9269,66,49,0,0,2,2010,5,18704.68,23045.6,21451.56,13481.25,23709.62442857143,14161.266136648255,21756.950066666664,16394.074732424306
2010-02-02,21696.7,11155,46,34,1,0,2,2010,5,19831.431,47243.840000000004,33352.561,19199.29,23250.457428571426,14238.283879786539,22417.99776666667,15878.241596013135
2010-02-03,21450.191,10301,49,41,2,0,2,2010,5,21696.7,28703.6,19140.16,8746.18,19600.866,9573.117733247693,23141.221100000002,15305.735026301341
2010-02-04,22676.5,12862,64,52,3,0,2,2010,5,21450.191,19865.670000000002,27391.96,73085.74,18564.664714285715,8783.618690086165,23406.852466666667,15201.097914774897
2010-02-05,21931.04,10402,40,35,4,0,2,2010,5,22676.5,28403.981,36814.82,30319.05,18966.21185714286,8916.255171173018,23522.759466666666,15181.152966593074
2010-02-06,0.0,0,0,0,5,1,2,2010,5,21931.04,0.0,0.0,0.0,18041.506,8069.807832614813,23962.254800000002,14927.348590287778
2010-02-07,17078.21,11210,30,29,6,1,2,2010,5,0.0,18704.68,16070.24,23688.600000000002,18041.506,8069.807832614813,21526.06346666667,12380.418845165692
2010-02-08,17438.52,8630,60,45,0,0,2,2010,6,17078.21,19831.431,23045.6,37887.26,17809.153142857143,8070.94599174276,21084.702133333332,12291.84078433947
2010-02-09,19666.54,10929,54,51,1,0,2,2010,6,17438.52,21696.7,47243.840000000004,40856.53,17467.308714285715,8021.54155084345,21665.986133333336,11656.26129449001
2010-02-10,9583.09,3783,31,24,2,0,2,2010,6,19666.54,21450.191,28703.6,22489.07,17177.28585714286,7878.566366078064,21531.91746666667,11655.325820328348
2010-02-11,15114.4,9046,56,48,3,0,2,2010,6,9583.09,22676.5,19865.670000000002,31672.73,15481.985714285713,8080.085006198565,20588.445133333335,11429.12949063128
2010-02-12,11393.61,7661,32,27,4,0,2,2010,6,15114.4,21931.04,28403.981,13515.89,14401.685714285715,7437.869196039604,19730.374133333335,10804.22388222988
2010-02-13,0.0,0,0,0,5,1,2,2010,6,11393.61,0.0,0.0,0.0,12896.338571428572,6688.625200840141,19360.52546666667,10896.051087065132
2010-02-14,17914.45,10943,46,39,6,1,2,2010,6,0.0,17078.21,18704.68,17578.24,12896.338571428572,6688.62520084014,18304.767799999998,11192.353898392692
2010-02-15,42784.781,96591,45,35,0,0,2,2010,7,17914.45,17438.52,19831.431,21451.56,13015.801428571429,6782.572477910857,18451.386466666667,11156.208839148761
2010-02-16,31203.68,16736,61,51,1,0,2,2010,7,42784.781,19666.54,21696.7,33352.561,16636.69585714286,13234.269318897934,19877.545833333337,11447.046577410807
2010-02-17,26616.23,25072,49,42,2,0,2,2010,7,31203.68,9583.09,21450.191,19140.16,18284.858714285714,14346.180050762223,20331.727166666664,11621.646675948028
2010-02-18,35811.19,19884,63,58,3,0,2,2010,7,26616.23,15114.4,22676.5,27391.96,20718.164428571432,14066.043178180345,20503.882833333333,11676.928764016027
2010-02-19,27254.86,12622,58,30,4,0,2,2010,7,35811.19,11393.61,21931.04,36814.82,23674.848714285712,14845.452701718405,20585.837133333334,11778.403560056056
2010-02-20,0.0,0,0,0,5,1,2,2010,7,27254.86,0.0,0.0,0.0,25940.741571428574,13834.573592284201,20856.327133333332,11837.089374157495
2010-02-21,11477.911,5602,37,34,6,1,2,2010,7,0.0,17914.45,17078.21,16070.24,25940.741571428574,13834.573592284203,19943.2618,12360.455711020228
2010-02-22,26359.13,13431,48,41,0,0,2,2010,8,11477.911,42784.781,17438.52,23045.6,25021.236,14646.991938955765,19098.698166666665,12029.072759701063
2010-02-23,22707.44,11922,47,42,1,0,2,2010,8,26359.13,31203.68,19666.54,47243.840000000004,22674.714428571428,12482.718201250373,19977.33583333333,11538.619750352864
2010-02-24,33086.291,22462,63,47,2,0,2,2010,8,22707.44,26616.23,9583.09,28703.6,21460.965857142855,11915.361515237804,20198.575833333332,11524.744418343069
2010-02-25,46642.82,26327,67,55,3,0,2,2010,8,33086.291,35811.19,15114.4,19865.670000000002,22385.260285714285,12612.468930867328,20533.265533333335,11753.795312342256
2010-02-26,16703.701,7430,36,26,4,0,2,2010,8,46642.82,27254.86,11393.61,28403.981,23932.636,14976.978158625272,20513.23153333333,11707.117534987781
2010-02-27,0.0,0,0,0,5,1,2,2010,8,16703.701,0.0,0.0,0.0,22425.327571428574,15117.185180117483,20113.234899999996,11622.320820563222
2010-02-28,16917.02,8511,53,50,6,1,2,2010,8,0.0,11477.911,17914.45,18704.68,22425.327571428574,15117.185180117483,19451.0459,12189.025586975076
2010-03-01,25831.21,21468,58,49,0,0,3,2010,9,16917.02,26359.13,42784.781,19831.431,23202.343142857142,14591.350045747156,19068.1472,12078.002084098678
2010-03-02,26423.87,11912,55,48,1,0,3,2010,9,25831.21,22707.44,31203.68,21696.7,23126.926,14573.668037584373,19929.187533333334,11582.342332170896
2010-03-03,34114.91,20419,63,53,2,0,3,2010,9,26423.87,33086.291,26616.23,21450.191,23657.844571428574,14623.44892029451,20186.49386666667,11639.801290306455
2010-03-04,32369.19,18584,74,67,3,0,3,2010,9,34114.91,46642.82,35811.19,22676.5,23804.790142857142,14738.696314243793,20662.609833333332,11913.68144583092
2010-03-05,27684.73,18307,81,55,4,0,3,2010,9,32369.19,16703.701,27254.86,21931.04,21765.700142857146,11733.450296918925,21018.359500000002,12103.456764929675
2010-03-06,0.0,0,0,0,5,1,3,2010,9,27684.73,0.0,0.0,0.0,23334.41857142857,11677.814234636593,21226.177466666668,12164.49705883241
2010-03-07,20001.22,11008,58,46,6,1,3,2010,9,0.0,16917.02,11477.911,17078.21,23334.41857142857,11677.814234636593,20470.294133333333,12761.176383621845
2010-03-08,37256.01,15622,76,66,0,0,3,2010,10,20001.22,25831.21,26359.13,17438.52,23775.018571428573,11451.32002262975,20405.9668,12758.422735189886
2010-03-09,22035.75,12362,57,51,1,0,3,2010,10,37256.01,26423.87,22707.44,19666.54,25407.132857142857,12554.275559737565,21647.8338,12514.538628487113
2010-03-10,27547.43,18065,61,47,2,0,3,2010,10,22035.75,34114.91,33086.291,9583.09,24780.25857142857,12604.501030320387,21813.085133333334,12484.813412830572
2010-03-11,24591.91,14208,48,39,3,0,3,2010,10,27547.43,32369.19,46642.82,15114.4,23842.047142857144,12024.977567334192,22150.0488,12499.08406052098
2010-03-12,21712.54,11045,36,30,4,0,3,2010,10,24591.91,27684.73,16703.701,11393.61,22731.007142857143,11451.417472643165,22314.227799999997,12497.685573387214
2010-03-13,0.0,0,0,0,5,1,3,2010,10,21712.54,0.0,0.0,0.0,21877.837142857144,11241.38473550555,22718.5428,12265.66308425273
2010-03-14,9032.7,4954,24,22,6,1,3,2010,10,0.0,20001.22,16917.02,17914.45,21877.83714285714,11241.38473550555,22214.729466666664,12883.620447180094
2010-03-15,27662.451,15224,57,41,0,0,3,2010,11,9032.7,37256.01,25831.21,42784.781,20310.905714285716,12264.456247186905,22136.032466666667,12958.988462010131
2010-03-16,24059.94,12935,45,42,1,0,3,2010,11,27662.451,22035.75,26423.87,31203.68,18940.397285714287,10458.345372633037,23058.11416666667,12296.840644699452
2010-03-17,30795.24,78885,48,40,2,0,3,2010,11,24059.94,27547.43,34114.91,26616.23,19229.56728571429,10585.40742213,23262.963833333335,12259.329842959327
2010-03-18,41145.01,23691,86,70,3,0,3,2010,11,30795.24,24591.91,32369.19,35811.19,19693.540142857146,11070.803578708134,22863.312466666666,11787.319428640749
2010-03-19,45764.45,13418,62,47,4,0,3,2010,11,41145.01,21712.54,27684.73,27254.86,22058.268714285714,13738.049925473713,23194.690133333334,12163.6123256349
2010-03-20,0.0,0,0,0,5,1,3,2010,11,45764.45,0.0,0.0,0.0,25494.255857142856,16389.15059734621,23832.964133333335,12833.302305477311
2010-03-21,20873.23,12471,56,51,6,1,3,2010,11,0.0,9032.7,20001.22,11477.911,25494.255857142856,16389.15059734621,22639.2578,13336.364641925962
2010-03-22,25614.49,12877,56,49,0,0,3,2010,12,20873.23,27662.451,37256.01,26359.13,27185.760142857143,14955.312853683929,22426.5368,13311.076017824113
2010-03-23,56488.73,54482,71,58,1,0,3,2010,12,25614.49,24059.94,22035.75,22707.44,26893.19428571429,14964.462277523666,23280.353133333334,12626.874760970946
2010-03-24,30179.26,14455,73,59,2,0,3,2010,12,56488.73,30795.24,27547.43,33086.291,31525.878571428573,18534.86285383524,24780.713766666668,13796.135407842568
2010-03-25,38993.08,17262,85,67,3,0,3,2010,12,30179.26,41145.01,24591.91,46642.82,31437.88142857143,18540.371222630576,24908.051433333334,13828.797627367068
2010-03-26,32546.05,20939,62,48,4,0,3,2010,12,38993.08,45764.45,21712.54,16703.701,31130.462857142855,18369.64583011308,25450.9061,14057.196309107972
2010-03-27,0.0,0,0,0,5,1,3,2010,12,32546.05,0.0,0.0,0.0,29242.12,17260.517390765945,25432.89806666667,14047.420317628808
2010-03-28,22562.62,14594,59,56,6,1,3,2010,12,0.0,20873.23,9032.7,16917.02,29242.12,17260.517390765945,23878.137400000003,14199.348702349766
2010-03-29,59935.770000000004,25221,85,41,0,0,3,2010,13,22562.62,25614.49,27662.451,25831.21,29483.46142857143,17135.35547828664,24073.4347,14137.42577756324
2010-03-30,38630.01,19298,70,54,1,0,3,2010,13,59935.770000000004,56488.73,24059.94,26423.87,34386.50142857143,20436.152577098463,26071.293700000002,14835.850147374502
2010-03-31,29718.33,13695,75,59,2,0,3,2010,13,38630.01,30179.26,30795.24,34114.91,31835.255714285715,18210.596124400457,26795.060033333335,14903.339749794777
2010-04-01,30823.15,17317,79,72,3,0,4,2010,13,29718.33,38993.08,41145.01,32369.19,31769.408571428572,18218.41362004702,26924.630699999998,14911.566187680859
2010-04-02,0.0,0,0,0,4,0,4,2010,13,30823.15,32546.05,45764.45,27684.73,30602.27571428572,17938.05150891615,27071.273366666668,14928.094259299303
2010-04-03,0.0,0,0,0,5,1,4,2010,13,0.0,0.0,0.0,0.0,25952.84,21260.457837691712,25934.109700000005,15654.72137302902
2010-04-04,0.0,0,0,0,6,1,4,2010,13,0.0,22562.62,20873.23,20001.22,25952.84,21260.457837691712,24855.1367,16298.171086489823
2010-04-05,0.0,0,0,0,0,0,4,2010,14,0.0,59935.770000000004,25614.49,37256.01,22729.608571428573,23456.961196099433,23932.31236666667,16904.910653413408
2010-04-06,19476.52,13055,55,46,1,0,4,2010,14,0.0,38630.01,56488.73,22035.75,14167.355714285715,17890.992197964555,23932.31236666667,16904.910653413408
2010-04-07,34590.91,23550,61,46,2,0,4,2010,14,19476.52,29718.33,30179.26,27547.43,11431.142857142857,14707.61342569976,23914.82236666667,16909.38888678712
2010-04-08,47626.52,26827,86,70,3,0,4,2010,14,34590.91,30823.15,38993.08,24591.91,12127.225714285714,15792.641942712708,23825.9857,16843.75495066128
2010-04-09,16988.42,9148,51,33,4,0,4,2010,14,47626.52,0.0,32546.05,21712.54,14527.707142857142,19861.064797942996,24679.011366666666,17389.137760706493
2010-04-10,0.0,0,0,0,5,1,4,2010,14,16988.42,0.0,0.0,0.0,16954.624285714286,18799.568765697666,24327.044366666665,17435.874825321724
2010-04-11,19967.32,11708,42,40,6,1,4,2010,14,0.0,0.0,22562.62,9032.7,16954.624285714286,18799.568765697666,23507.314033333336,17992.199838700977
2010-04-12,27221.411,12892,46,37,0,0,4,2010,15,19967.32,0.0,59935.770000000004,27662.451,19807.09857142857,17249.171470922334,23449.140033333333,18001.0222061605
2010-04-13,26027.6,14501,52,43,1,0,4,2010,15,27221.411,19476.52,38630.01,24059.94,23695.87157142857,14955.469932721186,24356.5204,17456.087664116745
2010-04-14,27214.08,16408,45,39,2,0,4,2010,15,26027.6,34590.91,29718.33,30795.24,24631.740142857143,14852.045680374258,24923.017066666667,17215.750988417036
2010-04-15,29613.48,10784,74,57,3,0,4,2010,15,27214.08,47626.52,30823.15,41145.01,23577.907285714286,14278.241222283823,24908.071366666663,17213.48524151043
2010-04-16,19561.05,14902,42,37,4,0,4,2010,15,29613.48,16988.42,0.0,45764.45,21004.615857142857,10287.116517628265,25093.189366666666,17233.89966677047
2010-04-17,0.0,0,0,0,5,1,4,2010,15,19561.05,0.0,0.0,0.0,21372.134428571426,10164.94926534416,24718.716366666667,17227.780209762135
2010-04-18,24096.88,13032,54,43,6,1,4,2010,15,0.0,19967.32,0.0,20873.23,21372.134428571426,10164.94926534416,23347.216033333334,17510.447461815977
2010-04-19,45287.87,19391,74,44,0,0,4,2010,16,24096.88,27221.411,0.0,25614.49,21962.07157142857,10189.632929475956,22624.963700000004,16993.140100147502
2010-04-20,29204.7,13542,68,53,1,0,4,2010,16,45287.87,26027.6,19476.52,56488.73,24542.99428571429,13495.528902383268,24134.55936666667,16925.383376359543
2010-04-21,29469.46,13315,66,51,2,0,4,2010,16,29204.7,27214.08,34590.91,30179.26,24996.865714285716,13606.7462021257,24412.27503333333,16938.372827974235
2010-04-22,43505.03,21587,79,67,3,0,4,2010,16,29469.46,29613.48,47626.52,38993.08,25319.062857142853,13694.418794519566,24540.774033333335,16962.4129981711
2010-04-23,16737.31,10286,57,43,4,0,4,2010,16,43505.03,19561.05,16988.42,32546.05,27303.57,15329.395176381455,24107.98403333333,16270.697254513934
2010-04-24,0.0,0,0,0,5,1,4,2010,16,16737.31,0.0,0.0,0.0,26900.178571428576,15601.828422585004,23659.91903333333,16282.819019899103
2010-04-25,16774.12,8463,46,44,6,1,4,2010,16,0.0,24096.88,19967.32,22562.62,26900.178571428572,15601.828422585004,22360.1497,16570.413596118895
2010-04-26,36270.85,19640,99,66,0,0,4,2010,17,16774.12,45287.87,27221.411,59935.770000000004,25854.070000000003,16059.890400599468,21834.4187,16486.085006080575
2010-04-27,46378.58,23586,79,63,1,0,4,2010,17,36270.85,29204.7,26027.6,38630.01,24565.92428571428,14530.095007348098,23043.447033333334,16156.30035043696
2010-04-28,32562.56,19491,73,62,2,0,4,2010,17,46378.58,29469.46,27214.08,29718.33,27019.335714285717,16727.62725380268,23837.31236666667,16707.57185385936
2010-04-29,32848.171,17076,84,71,3,0,4,2010,17,32562.56,43505.03,29613.48,30823.15,27461.207142857143,16843.587084325518,22924.872033333333,15361.3943357399
2010-04-30,29283.0,17697,50,36,4,0,4,2010,17,32848.171,16737.31,19561.05,0.0,25938.798714285713,15586.476996457704,22732.144066666664,15192.905358752956
2010-05-01,0.0,0,0,0,5,1,5,2010,17,29283.0,0.0,0.0,0.0,27731.040142857142,15064.643890463429,22717.633066666665,15186.209064137716
2010-05-02,12367.83,6307,40,39,6,1,5,2010,17,0.0,16774.12,24096.88,0.0,27731.040142857142,15064.64389046343,21690.19473333333,15654.381327858706
2010-05-03,0.0,0,0,0,0,0,5,2010,18,12367.83,36270.85,45287.87,0.0,27101.57014285714,15678.336820749422,22102.455733333332,15220.305346828367
2010-05-04,22745.04,11246,52,43,1,0,5,2010,18,0.0,46378.58,29204.7,19476.52,21920.02014285714,17969.14791655085,22102.455733333332,15220.305346828367
2010-05-05,28118.53,15638,82,57,2,0,5,2010,18,22745.04,32562.56,29469.46,34590.91,18543.80014285714,14491.429295401596,22860.62373333333,14636.660343453566
2010-05-06,54666.13,31189,84,68,3,0,5,2010,18,28118.53,32848.171,43505.03,47626.52,17908.938714285712,13858.436773390364,23797.908066666667,14009.116929842272
2010-05-07,35769.25,23184,66,48,4,0,5,2010,18,54666.13,29283.0,16737.31,16988.42,21025.79,19201.756582752183,24970.895066666664,15068.008051890796
2010-05-08,0.0,0,0,0,5,1,5,2010,18,35769.25,0.0,0.0,0.0,21952.397142857142,19813.390360169487,25010.173066666666,15095.460189914711
2010-05-09,23143.29,11971,62,52,6,1,5,2010,18,0.0,12367.83,16774.12,19967.32,21952.397142857142,19813.390360169487,23422.6224,15139.255580765459
2010-05-10,32948.68,15742,77,65,0,0,5,2010,19,23143.29,0.0,36270.85,27221.411,23491.748571428576,19357.985880610475,23627.784733333334,15090.681122201811
2010-05-11,28780.12,18201,65,59,1,0,5,2010,19,32948.68,22745.04,46378.58,26027.6,28198.70285714286,16486.727362186146,24726.074066666664,14499.168511954322
2010-05-12,31407.31,21691,65,51,2,0,5,2010,19,28780.12,28118.53,32562.56,27214.08,29060.85714285714,16310.86300566969,25019.834066666666,14488.701232384785
2010-05-13,41108.4,26853,66,58,3,0,5,2010,19,31407.31,54666.13,32848.171,29613.48,29530.682857142856,16326.554132722682,25159.36403333333,14530.728780754454
2010-05-14,18895.91,14359,49,36,4,0,5,2010,19,41108.4,35769.25,29283.0,19561.05,27593.864285714284,13387.38328309266,25662.057366666668,14819.787779492206
2010-05-15,0.0,0,0,0,5,1,5,2010,19,18895.91,0.0,0.0,0.0,25183.38714285714,13187.600639716738,25384.785033333334,14867.48681609328
2010-05-16,18478.89,11066,44,38,6,1,5,2010,19,0.0,23143.29,12367.83,24096.88,25183.38714285714,13187.600639716738,24397.66903333333,15544.703358621115
2010-05-17,25562.62,13840,49,42,0,0,5,2010,20,18478.89,32948.68,0.0,45287.87,24517.044285714284,13423.592786330666,24361.59703333333,15557.564185967627
2010-05-18,29021.78,22594,64,51,1,0,5,2010,20,25562.62,28780.12,22745.04,29204.7,23461.89285714286,12931.643333020644,25213.684366666665,14861.741857416062
2010-05-19,17831.08,9687,61,56,2,0,5,2010,20,29021.78,31407.31,28118.53,29469.46,23496.415714285715,12948.518950439673,25377.8477,14876.173512002084
2010-05-20,25782.58,15642,67,57,3,0,5,2010,20,17831.08,41108.4,54666.13,43505.03,21556.954285714284,12577.546554507175,24462.621366666666,14447.444768600433
2010-05-21,27340.92,10113,52,39,4,0,5,2010,20,25782.58,18895.91,35769.25,16737.31,19367.551428571427,9584.801798048873,24348.550700000003,14422.200041925573
2010-05-22,0.0,0,0,0,5,1,5,2010,20,27340.92,0.0,0.0,0.0,20573.981428571427,10036.387135250128,24277.599366666665,14401.359258941528
2010-05-23,25457.97,14040,49,41,6,1,5,2010,20,0.0,18478.89,23143.29,16774.12,20573.981428571427,10036.387135250128,22827.4317,14587.658294568013
2010-05-24,35831.33,32794,71,61,0,0,5,2010,21,25457.97,25562.62,32948.68,36270.85,21570.992857142857,10139.691925978677,23118.120366666666,14548.952579259127
