date,total_price,quantity,invoice_count,customer_count,week_of_year,month,year,lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_std_4,rolling_mean_12,rolling_std_12
2010-03-22,206384.23,134609,406,320,12,3,2010,190300.321,142176.34,162416.402,165967.371,165329.54825,19742.486034310357,142079.16908333334,51707.64834106986
2010-03-29,159107.26,75531,309,214,13,3,2010,206384.23,190300.321,166425.13,124664.072,176321.50525,28065.43106269893,159277.85491666666,29862.720612165183
2010-04-05,138649.69,84288,295,229,14,4,2010,159107.26,206384.23,142176.34,91110.61,174492.03775000002,29143.37805465379,158493.45075,29721.172818536696
2010-04-12,153734.501,82519,313,243,15,4,2010,138649.69,159107.26,190300.321,175148.652,173610.37525,30470.03834050961,156380.94825,30191.40920662733
2010-04-19,180978.49,86584,390,286,16,4,2010,153734.501,138649.69,206384.23,162416.402,164468.92025000002,29254.63495705792,156340.38158333334,30194.901658229268
2010-04-26,189710.991,103797,425,326,17,4,2010,180978.49,153734.501,159107.26,166425.13,158117.48525,17529.12619106566,157591.30816666665,30931.93789445647
2010-05-03,164442.24,93228,346,258,18,5,2010,189710.991,180978.49,138649.69,142176.34,165768.418,23698.337908007878,163011.88475,30330.770362726234
2010-05-10,171619.31,107912,366,296,19,5,2010,164442.24,189710.991,153734.501,190300.321,172216.55550000002,16174.600352408981,169122.85391666667,20234.1682542529
2010-05-17,150996.95,85916,342,269,20,5,2010,171619.31,164442.24,180978.49,206384.23,176687.75775,11009.947851604113,168828.74208333332,20164.147398841793
2010-05-24,160432.53,103843,406,312,21,5,2010,150996.95,171619.31,189710.991,159107.26,169192.37275,16130.105284823736,167877.12108333333,20755.084714948574
2010-05-31,108579.82,60165,279,207,22,5,2010,160432.53,150996.95,164442.24,138649.69,161872.7575,8601.452783916993,167377.73775,20864.998988084073
2010-06-07,220415.75,123464,474,368,23,6,2010,108579.82,160432.53,171619.31,153734.501,147907.1525,27539.8948495866,164578.02774999998,26140.971291464866
2010-06-14,172392.97,82245,344,267,24,6,2010,220415.75,108579.82,150996.95,180978.49,160106.2625,46098.787344580836,167087.64683333333,29996.197912676565
2010-06-21,127041.53,65660,328,246,25,6,2010,172392.97,220415.75,160432.53,189710.991,165455.2675,45930.49376659787,164255.04183333332,27444.376760801093
2010-06-28,181541.81,107737,373,310,26,6,2010,127041.53,172392.97,108579.82,164442.24,157107.51750000002,50001.594605923856,161582.89766666666,29476.94557612073
2010-07-05,154082.18,75081,348,266,27,7,2010,181541.81,127041.53,220415.75,171619.31,175348.015,38348.023063079716,165157.241,29040.580588276687
2010-07-12,159283.44,85240,355,262,28,7,2010,154082.18,181541.81,172392.97,150996.95,158764.6225,24033.3933761635,165186.21425,29028.319156552898
2010-07-19,148014.78,82899,351,275,29,7,2010,159283.44,154082.18,127041.53,160432.53,155487.24,22393.335045146683,163378.29341666668,28628.18109550744
2010-07-26,162355.09,74805,354,274,30,7,2010,148014.78,159283.44,181541.81,108579.82,160730.5525,14618.416472489524,159903.60916666666,27655.421457729808
2010-08-02,131419.35,75224,318,253,31,8,2010,162355.09,148014.78,154082.18,220415.75,155933.8725,6287.353119754463,159729.68,27630.834666802613
2010-08-09,180134.32,182465,337,241,32,8,2010,131419.35,162355.09,159283.44,172392.97,150268.165,13996.719974618856,156379.68333333335,28482.107652154107
2010-08-16,169884.73,108071,338,262,33,8,2010,180134.32,131419.35,148014.78,127041.53,155480.885,20734.405723406395,158807.7975,29214.092339686486
2010-08-23,149147.75,83726,337,273,34,8,2010,169884.73,180134.32,162355.09,181541.81,160948.3725,20991.276686367117,159595.48083333333,29388.786422187823
2010-08-30,145481.68,87616,292,231,35,8,2010,149147.75,169884.73,131419.35,154082.18,157646.5375,21722.250271435652,162976.1416666667,24991.12471244427
2010-09-06,133120.36,75346,314,263,36,9,2010,145481.68,149147.75,180134.32,159283.44,161162.12,16595.677982962756,156731.63583333333,17604.082183123108
2010-09-13,179573.591,101536,396,302,37,9,2010,133120.36,145481.68,169884.73,148014.78,149408.63,15275.98775289488,153458.91833333333,18072.147342330016
2010-09-20,246229.42,140018,486,323,38,9,2010,179573.591,133120.36,149147.75,162355.09,151830.84524999998,19725.221583309463,157836.59008333334,17442.782325795153
2010-09-27,333403.36,237723,562,413,39,9,2010,246229.42,179573.591,145481.68,131419.35,176101.26275,50711.38054962126,163227.22425,30524.810916946994
2010-10-04,293194.54,164481,544,411,40,10,2010,333403.36,246229.42,133120.36,180134.32,223081.68275,86972.57010058644,178170.6559166667,57561.04778361287
2010-10-11,327279.47,173610,574,449,41,10,2010,293194.54,333403.36,179573.591,169884.73,263100.22775,66104.76844843941,189329.91425,65937.59781886998
2010-10-18,246809.32,127961,557,435,42,10,2010,327279.47,293194.54,246229.42,149147.75,300026.6975,39989.7513999626,204268.63841666665,75360.09839077934
2010-10-25,220689.65,113355,478,388,43,10,2010,246809.32,327279.47,333403.36,145481.68,300171.6725,39729.91644279925,211306.49091666666,75032.82697296541
2010-11-01,288871.07,163832,529,406,44,11,2010,220689.65,246809.32,293194.54,133120.36,271993.245,47512.631733597096,218745.68258333334,70692.14041295063
2010-11-08,382123.581,178562,664,493,45,11,2010,288871.07,220689.65,327279.47,179573.591,270912.37749999994,46914.97092826777,227807.07841666663,72244.90657367125
2010-11-15,355559.841,171311,638,506,46,11,2010,382123.581,288871.07,246809.32,246229.42,284623.40524999995,70809.0319822041,245493.64933333333,82084.98856129668
2010-11-22,304424.85,148053,686,543,47,11,2010,355559.841,382123.581,220689.65,333403.36,311811.0355,72312.19572093207,262694.65691666666,81686.17169345697
2010-11-29,510148.8,248485,655,467,48,11,2010,304424.85,355559.841,288871.07,293194.54,332744.8355,43534.33074784375,275939.9210833334,73420.47019996913
2010-12-06,583361.63,211824,530,406,49,12,2010,510148.8,304424.85,382123.581,327279.47,388064.268,87544.30256288909,307358.95775,86290.58804826015
2010-12-13,216012.2,107193,444,336,50,12,2010,583361.63,510148.8,355559.841,246809.32,438373.78025,130350.29022402609,341007.96099999995,107942.75904804481
2010-12-20,92369.3,39387,160,86,51,12,2010,216012.2,583361.63,304424.85,220689.65,403486.87,171941.59114310858,338489.8593333333,110672.69924576671
2010-12-27,0.0,0,0,0,52,12,2010,92369.3,216012.2,510148.8,288871.07,350472.9825,234115.85577746588,318403.68766666664,131578.15364613823
2011-01-03,133658.19,76900,242,207,1,1,2011,0.0,92369.3,583361.63,382123.581,222935.78250000003,256061.6442786369,293970.80933333334,160686.8033151416
2011-01-10,193362.04,89465,258,212,2,1,2011,133658.19,0.0,216012.2,355559.841,110509.9225,89829.64989649733,277835.70266666665,166648.59746086277
2011-01-17,215533.18000000002,144797,232,187,3,1,2011,193362.04,133658.19,92369.3,304424.85,104847.3825,81268.24591257899,273381.76266666665,168259.65261438795
2011-01-24,125170.79,63208,292,244,4,1,2011,215533.18000000002,193362.04,0.0,510148.8,135638.3525,96810.6248857236,272952.05683333334,168412.96691900663
2011-01-31,125990.68000000001,69450,297,247,5,1,2011,125170.79,215533.18000000002,133658.19,583361.63,166931.05000000002,44391.31597044631,259310.36683333336,173557.6773569885
2011-02-07,107080.7,51610,222,183,6,2,2011,125990.68000000001,125170.79,193362.04,216012.2,165014.1725,46425.92597001981,237965.95841666663,172829.12978919077
2011-02-14,143734.46,81407,296,236,7,2,2011,107080.7,125990.68000000001,215533.18000000002,92369.3,143443.83750000002,48845.56630368502,217259.3633333333,172343.85866923447
2011-02-21,148710.78,84597,290,245,8,2,2011,143734.46,107080.7,125170.79,0.0,125494.1575,14967.911828626966,203868.49749999997,171194.40510243818
2011-02-28,132717.55,69416,287,242,9,2,2011,148710.78,143734.46,125990.68000000001,133658.19,131379.155,18907.576655898923,173748.6625,141656.13432064228
2011-03-07,135220.53,69370,295,229,10,3,2011,132717.55,148710.78,107080.7,193362.04,133060.8725,18564.592717924606,136194.98916666667,58549.50723824714
2011-03-14,161691.62,87851,340,268,11,3,2011,135220.53,132717.55,143734.46,215533.18000000002,140095.83000000002,7431.118301386137,129462.35000000002,52910.485333016906
2011-03-21,149655.47,78134,325,270,12,3,2011,161691.62,135220.53,148710.78,125170.79,144585.12,13393.88139236709,135239.21,52272.95510442765
2011-03-28,192720.48,106834,359,279,13,3,2011,149655.47,161691.62,132717.55,125990.68000000001,144821.29249999998,13498.795565361468,147710.49916666668,30314.815127058006
2011-04-04,134483.88,68369,318,266,14,4,2011,192720.48,149655.47,135220.53,107080.7,159822.02500000002,24456.73815573058,152632.35666666666,32538.93190508669
2011-04-11,149571.681,87539,370,302,15,4,2011,134483.88,192720.48,161691.62,143734.46,159637.8625,24705.252452021068,147725.84333333335,30193.582413497512
2011-04-18,141650.98,80918,268,221,16,4,2011,149571.681,134483.88,149655.47,148710.78,156607.87775,25109.32997868509,142229.05174999998,21471.2751175422
2011-04-25,86465.08,51635,213,171,17,4,2011,141650.98,149571.681,192720.48,132717.55,154606.75525000002,26145.68293031152,143602.4009166667,20797.48460471884
2011-05-02,146941.6,77979,365,291,18,5,2011,86465.08,141650.98,134483.88,135220.53,128042.90525000001,28395.243685899393,140308.60091666665,26254.350862504285
2011-05-09,211984.26,110045,437,311,19,5,2011,146941.6,86465.08,149571.681,161691.62,131157.33525,29976.354028738333,143630.34258333335,24101.482407137493
2011-05-16,215835.32,108195,454,349,20,5,2011,211984.26,146941.6,141650.98,149655.47,146760.48,51367.358420669545,149317.82591666668,31150.329900780223
2011-05-23,166087.12,83937,353,261,21,5,2011,215835.32,211984.26,86465.08,192720.48,165306.565,61333.009026731284,154911.53758333332,36584.28223613573
2011-05-30,118688.68,58541,259,212,22,5,2011,166087.12,215835.32,146941.6,134483.88,185212.075,34082.87049962056,157692.33508333334,36007.617015818
2011-06-06,220151.72,97980,408,334,23,6,2011,118688.68,166087.12,211984.26,149571.681,178148.84499999997,45629.31125914026,156314.68091666666,37240.69283221488
2011-06-13,190132.24,103522,370,286,24,6,2011,220151.72,118688.68,215835.32,141650.98,180190.71,47780.16145947679,161186.35591666665,41579.079864552135
2011-06-20,135972.61,75141,338,263,25,6,2011,190132.24,220151.72,166087.12,86465.08,173764.94,42863.9911176355,164559.42008333333,42195.85378067812
2011-06-27,139216.16,76571,286,205,26,6,2011,135972.61,190132.24,118688.68,146941.6,166236.3125,47097.6133943808,159830.43091666666,41931.97000308205
2011-07-04,177320.48,93115,360,269,27,7,2011,139216.16,135972.61,220151.72,211984.26,171368.1825,40900.376886284226,160224.78758333332,41693.49797534505
2011-07-11,137142.63,81363,328,262,28,7,2011,177320.48,139216.16,190132.24,215835.32,160660.3725,27175.295293400024,162537.1875,41818.25743777835
2011-07-18,202365.54,109950,367,283,29,7,2011,137142.63,177320.48,135972.61,166087.12,147412.97,19983.397852727496,162161.49166666667,42042.607527724336
2011-07-25,182685.091,106552,346,278,30,7,2011,202365.54,137142.63,139216.16,118688.68,164011.2025,31543.12599917913,171819.86333333334,35942.37606502288
2011-08-01,170702.36,103115,315,275,31,8,2011,182685.091,202365.54,177320.48,220151.72,174878.43525,27364.450064290933,174798.4875833333,35165.9147030039
2011-08-08,190233.13999999998,98444,276,226,32,8,2011,170702.36,182685.091,137142.63,190132.24,173223.90525,27367.654422768708,171358.32924999998,33159.445993483685
2011-08-15,176016.97,100011,319,277,33,8,2011,190233.13999999998,170702.36,202365.54,135972.61,186496.53275,13288.724617905795,169224.81425000002,30775.537192198597
2011-08-22,164939.43,97502,363,301,34,8,2011,176016.97,190233.13999999998,182685.091,139216.16,179909.39025,8449.944082280676,170052.30175,30816.96995890162
2011-08-29,154058.24,80002,288,227,35,8,2011,164939.43,176016.97,170702.36,177320.48,175472.97499999998,10830.09293792541,173906.53091666667,26382.157952523656
2011-09-05,192703.67,110390,397,317,36,9,2011,154058.24,164939.43,190233.13999999998,137142.63,171311.94499999998,15475.229283500146,168398.74091666666,22457.04783338656
2011-09-12,230137.26,121033,363,303,37,9,2011,192703.67,154058.24,176016.97,202365.54,171929.5775,16497.64187955436,168613.02675,22694.29753288325
2011-09-19,338771.791,169924,467,385,38,9,2011,230137.26,192703.67,164939.43,182685.091,185459.65000000002,33939.61618280726,176460.08091666666,26365.028331058853
2011-09-26,211800.221,120554,445,375,39,9,2011,338771.791,230137.26,154058.24,170702.36,228917.74025,79550.41034119134,193089.71683333334,51597.83822475814
2011-10-03,319987.39,171626,494,390,40,10,2011,211800.221,338771.791,192703.67,190233.13999999998,243353.2355,65422.559695921045,195963.02858333333,51599.902303522984
2011-10-10,228776.18,118061,456,363,41,10,2011,319987.39,211800.221,230137.26,176016.97,275174.1655,63501.87072790473,211200.0919166667,59102.55712210304
2011-10-17,276656.42,152767,453,366,42,10,2011,228776.18,319987.39,338771.791,164939.43,274833.89550000004,63826.45696099502,213400.97858333334,59235.26098333098
2011-10-24,260555.63,150998,530,423,43,10,2011,276656.42,228776.18,211800.221,154058.24,259305.05275,48894.91149580734,221231.92266666668,60990.96689998562
2011-10-31,301897.83,159756,533,442,44,10,2011,260555.63,276656.42,319987.39,192703.67,271493.905,37959.27439472292,228719.69516666664,59726.03733134591
2011-11-07,370044.97000000003,184197,641,517,45,11,2011,301897.83,260555.63,228776.18,230137.26,266971.515,30625.109852502817,238025.086,61845.80223479142
2011-11-14,388622.44,186000,690,569,46,11,2011,370044.97000000003,301897.83,276656.42,338771.791,302288.7125,48269.13373054745,254194.086,69098.7043584744
2011-11-21,316412.16,157360,619,492,47,11,2011,388622.44,370044.97000000003,260555.63,211800.221,330280.2175,59587.83010501124,272834.33683333336,72898.44848837466
2011-11-28,324370.83,157016,665,516,48,11,2011,316412.16,388622.44,301897.83,319987.39,344244.35000000003,41645.109439720916,286363.8301666667,63281.995807250634
2011-12-05,504327.93,245991,512,416,49,12,2011,324370.83,316412.16,370044.97000000003,228776.18,349862.60000000003,35016.260649251715,297336.0935,56631.456572579074
